user_id,username,lang,command,cards,timestamp
549721466,fhjweiofiowejfiowejfo,ru,draw3,Влюблённые | Маг | Императрица,2025-04-11 06:21:03
549721466,fhjweiofiowejfiowejfo,ru,draw3,Маг | Смерть | Шут,2025-04-11 06:21:09
я
